Date,ShiftID,EmployeeID,Hours_Worked
2023-06-23,SH-205430,FT-101,8
2023-06-23,SH-205431,FT-102,8
2023-06-23,SH-205432,FT-103,8
2023-06-23,SH-205433,FT-104,8
2023-06-23,SH-205434,FT-105,8
2023-06-23,SH-205435,FT-106,8
2023-06-23,SH-205436,FT-107,8
2023-06-23,SH-205437,FT-108,8
2023-06-23,SH-205438,FT-109,8
2023-06-23,SH-205439,FT-110,8
2023-06-23,SH-205440,FT-111,8
2023-06-23,SH-205441,FT-112,8
2023-06-23,SH-205442,FT-113,8
2023-06-23,SH-205443,FT-114,8
2023-06-23,SH-205444,FT-115,8
2023-06-23,SH-205445,FT-116,8
2023-06-23,SH-205446,FT-117,8
2023-06-23,SH-205447,FT-118,8
2023-06-23,SH-205448,FT-119,8
2023-06-23,SH-205449,FT-120,8
2023-06-23,SH-205450,FTS-11,8
2023-06-23,SH-205451,FTS-12,8
2023-06-23,SH-205452,FTS-13,8
2023-06-23,SH-205453,FTS-14,8
2023-06-23,SH-205454,FTS-15,8
2023-06-23,SH-205455,PT-201,4
2023-06-23,SH-205456,PT-202,4
2023-06-23,SH-205457,PT-203,4
2023-06-23,SH-205458,PT-204,4
2023-06-23,SH-205459,PT-205,4
2023-05-04,SH-204150,FT-101,8
2023-05-04,SH-204151,FT-102,8
2023-05-04,SH-204152,FT-103,8
2023-05-04,SH-204153,FT-104,8
2023-05-04,SH-204154,FT-105,8
2023-05-04,SH-204155,FT-106,8
2023-05-04,SH-204156,FT-107,8
2023-05-04,SH-204157,FT-108,8
2023-05-04,SH-204158,FT-109,8
2023-05-04,SH-204159,FT-110,8
2023-05-04,SH-204160,FT-111,8
2023-05-04,SH-204161,FT-112,8
2023-05-04,SH-204162,FT-113,8
2023-05-04,SH-204163,FT-114,8
2023-05-04,SH-204164,FT-115,8
2023-05-04,SH-204165,FT-116,8
2023-05-04,SH-204166,FT-117,8
2023-05-04,SH-204167,FT-118,8
2023-05-04,SH-204168,FT-119,8
2023-05-04,SH-204169,FT-120,8
2023-05-04,SH-204170,FTS-11,8
2023-05-04,SH-204171,FTS-12,8
2023-05-04,SH-204172,FTS-13,8
2023-05-04,SH-204173,FTS-14,8
2023-05-04,SH-204174,FTS-15,8
2023-05-04,SH-204175,PT-201,6
2023-05-04,SH-204176,PT-202,6
2023-05-04,SH-204177,PT-203,6
2023-05-04,SH-204178,PT-204,6
2023-05-04,SH-204179,PT-205,6
2023-05-04,SH-204180,PT-206,6
2023-05-04,SH-204181,PT-207,6
2023-05-04,SH-204182,PT-208,6
2023-05-04,SH-204183,PT-209,6
2023-05-04,SH-204184,PT-210,6
2023-05-04,SH-204185,PT-211,6
2023-05-04,SH-204186,PT-212,6
2023-05-04,SH-204187,PT-213,6
2023-05-04,SH-204188,PT-214,6
2023-05-04,SH-204189,PT-215,6
2023-02-13,SH-201650,FT-101,8
2023-02-13,SH-201651,FT-102,8
2023-02-13,SH-201652,FT-103,8
2023-02-13,SH-201653,FT-104,8
2023-02-13,SH-201654,FT-105,8
2023-02-13,SH-201655,FT-106,8
2023-02-13,SH-201656,FT-107,8
2023-02-13,SH-201657,FT-108,8
2023-02-13,SH-201658,FT-109,8
2023-02-13,SH-201659,FT-110,8
2023-02-13,SH-201660,FT-111,8
2023-02-13,SH-201661,FT-112,8
2023-02-13,SH-201662,FT-113,8
2023-02-13,SH-201663,FT-114,8
2023-02-13,SH-201664,FT-115,8
2023-02-13,SH-201665,FT-116,8
2023-02-13,SH-201666,FT-117,8
2023-02-13,SH-201667,FT-118,8
2023-02-13,SH-201668,FT-119,8
2023-02-13,SH-201669,FT-120,8
2023-02-13,SH-201670,FTS-11,8
2023-02-13,SH-201671,FTS-12,8
