Snapshot_Date,ProductID,Quantity_On_Hand,Average_Days_In_Stock
2023-01-01,FIT-101,151,120
2023-01-01,FIT-102,26,52
2023-01-01,FIT-103,23,36
2023-01-01,FIT-201,119,43
2023-01-01,FIT-202,104,54
2023-01-01,FIT-203,16,36
2023-01-01,FIT-204,148,36
2023-01-01,FIT-205,117,54
2023-01-01,FIT-301,61,50
2023-01-01,FIT-302,145,56
2023-01-01,FIT-303,96,23
2023-01-01,FIT-304,54,36
2023-01-01,FIT-401,197,90
2023-01-01,FIT-402,27,28
2023-01-01,FIT-501,138,46
2023-01-01,FIT-502,71,40
2023-01-01,FIT-503,64,23
2023-01-01,FIT-601,75,32
2023-01-02,FIT-101,150,120
2023-01-02,FIT-102,24,51
2023-01-02,FIT-103,15,36
2023-01-02,FIT-201,119,45
2023-01-02,FIT-202,109,52
2023-01-02,FIT-203,11,38
2023-01-02,FIT-204,141,35
2023-01-02,FIT-205,119,49
2023-01-02,FIT-301,68,53
2023-01-02,FIT-302,140,59
2023-01-02,FIT-303,93,-18
2023-01-02,FIT-304,60,37
2023-01-02,FIT-401,197,90
2023-01-02,FIT-402,33,27
2023-01-02,FIT-501,134,40
2023-01-02,FIT-502,76,-43
2023-01-02,FIT-503,58,27
2023-01-02,FIT-601,83,35
2023-01-03,FIT-101,151,121
2023-01-03,FIT-102,21,51
2023-01-03,FIT-103,24,39
2023-01-03,FIT-201,115,39
2023-01-03,FIT-202,110,51
2023-01-03,FIT-203,19,34
2023-01-03,FIT-204,141,37
2023-01-03,FIT-205,119,54
2023-01-03,FIT-301,60,56
2023-01-03,FIT-302,143,59
2023-01-03,FIT-303,98,19
2023-01-03,FIT-304,56,35
2023-01-03,FIT-401,197,90
2023-01-03,FIT-402,34,31
2023-01-03,FIT-501,144,40
2023-01-03,FIT-502,72,43
2023-01-03,FIT-503,62,22
2023-01-03,FIT-601,78,37
2023-01-04,FIT-101,150,121
2023-01-04,FIT-102,29,57
2023-01-04,FIT-103,23,38
2023-01-04,FIT-201,111,45
2023-01-04,FIT-202,111,51
2023-01-04,FIT-203,10,35
2023-01-04,FIT-204,141,36
2023-01-04,FIT-205,124,53
2023-01-04,FIT-301,68,53
2023-01-04,FIT-302,144,60
2023-01-04,FIT-303,98,21
2023-01-04,FIT-304,54,38
2023-01-04,FIT-401,201,91
2023-01-04,FIT-402,31,33
2023-01-04,FIT-501,141,44
2023-01-04,FIT-502,76,41
2023-01-04,FIT-503,60,21
2023-01-04,FIT-601,83,31
2023-01-05,FIT-101,149,121
2023-01-05,FIT-102,20,56
2023-01-05,FIT-103,18,40
2023-01-05,FIT-201,118,42
2023-01-05,FIT-202,109,51
2023-01-05,FIT-203,18,38
2023-01-05,FIT-204,150,41
2023-01-05,FIT-205,115a,53
2023-01-05,FIT-301,69,56
2023-01-05,FIT-302,143,60
2023-01-05,FIT-303,92,19
2023-01-05,FIT-304,60,35
2023-01-05,FIT-401,199,91
2023-01-05,FIT-402,28,31
2023-01-05,FIT-501,135,44
2023-01-05,FIT-502,76,38
2023-01-05,FIT-503,61,23
2023-01-05,FIT-601,77,37
2023-01-06,FIT-101,150,122
2023-01-06,FIT-102,22,52
2023-01-06,FIT-103,25,42
2023-01-06,FIT-201,111,43
2023-01-06,FIT-202,105,50
2023-01-06,FIT-203,19,35
2023-01-06,FIT-204,148,38
2023-01-06,FIT-205,124,49
2023-01-06,FIT-301,61,53
2023-01-06,FIT-302,145,59
2023-01-06,FIT-303,92,22
2023-01-06,FIT-304,56,38
2023-01-06,FIT-401,202,91
2023-01-06,FIT-402,27,32
2023-01-06,FIT-501,143,45
2023-01-06,FIT-502,71,42
2023-01-06,FIT-503,66,27
2023-01-06,FIT-601,75,32
2023-01-07,FIT-101,151,122
2023-01-07,FIT-102,29,55
2023-01-07,FIT-103,19,38
2023-01-07,FIT-201,114,44
2023-01-07,FIT-202,106,52
2023-01-07,FIT-203,11,37
2023-01-07,FIT-204,140,37
2023-01-07,FIT-205,119,53
2023-01-07,FIT-301,61,56
2023-01-07,FIT-302,148,60
2023-01-07,FIT-303,93,23
2023-01-07,FIT-304,57,-37
2023-01-07,FIT-401,199,91
2023-01-07,FIT-402,29,28
2023-01-07,FIT-501,137,41
